product_name,product_price,brand,num_sold,num_fav,product_rating,num_rating
5g realme c17 8gb ram+512gb rom (import phone),205.5,realme,0,0,0,0
5g realme narzo 30 8gb ram+512gb rom (import phone),205.5,realme,0,0,0,0
5g realme q3s 8gb ram+512gb rom (import phone),205.5,realme,0,1,0,0
5g realme q3 pro 8gb ram+512gb rom (import phone),205.5,realme,0,0,0,0
5g realme q2 8gb ram+512gb rom (import phone),205.5,realme,0,1,0,0
5g realme x7 max 8gb ram+512gb rom (import phone),205.5,realme,0,1,0,0
5g realme narzo 50i 8gb ram+512gb rom (import phone),205.5,realme,0,0,0,0
5g oppo a16 8gb ram+512gb rom (import phone),210.5,oppo,0,0,0,0
5g realme c25s 8gb ram+512gb rom (import phone),205.5,realme,0,0,0,0
5g vivo v23e 8gb ram+512gb rom (import phone),210.5,vivo,0,0,0,0
vivo x60 pro 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),250.5,other brands,0,0,0,0
huawei nova 5 8gb ram+512gb rom (import phone),198,huawei,0,0,0,0
oppo a94 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),245.5,oppo,0,0,0,0
vivo x60 pro 8gb+512gb (import phone),198,other brands,0,0,0,0
oppo a12 / a12s 8gb+512gb (import phone),198,oppo,0,0,0,0
vivo y12s 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),250.5,other brands,0,0,0,0
xiaomi mi 11 8gb ram+512gb rom (import phone),188,xiaomi,0,0,0,0
"oppo a83 4g 5.7"" 4gb+32gb/ 4gb+64gb original used set",273,oppo,0,0,0,0
oppo a74 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),255.5,oppo,0,0,0,0
huawei nova 4 dual sim dual standby 6.4 inch 8gb ram 128gb rom original used set,316.75,huawei,0,0,0,0
5g realme c21y 8gb ram+512gb rom (import phone),205.5,realme,0,0,0,0
realme v5 5g 6gb ram 256gb rom 6.8 inch screen display (import phone),235.5,realme,0,1,0,0
oppo reno 5f 8gb+512gb (import phone),198,oppo,0,0,0,0
original nokia 210 dual sim feature phones nokia my set 1 year warranty,159,nokia,0,0,0,0
oppo a73 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),245.5,oppo,0,0,0,0
oppo a15s 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),245.5,oppo,0,0,0,0
oppo a12 / a12s 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),245.5,oppo,0,0,0,0
redmi note 3 dual sim dual standby 5.5 inch 3gb ram 32gb rom original import used set,185,other brands,0,0,0,0
vivo v3 max (3gb ram + 32gb rom) original used - top a condition like new,209,vivo,0,0,0,0
oppo reno 5f 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),245.5,oppo,0,0,0,0
original xiaomi redmi 9a (2gb+32gb) sealed set 1 year warranty xiaomi malaysia,316.75,other brands,0,0,0,0
original nokia 106 dual sim feature phones nokia my set 1 year warranty,126.75,nokia,0,0,0,0
original nokia 110 dual sim feature phones nokia my set 1 year warranty,129,nokia,0,0,0,0
"new nokia 1280 long lasting standby battery basic phone ( english, malay, chinese)",126.75,nokia,0,0,0,0
realme c15 5g 6gb ram+256gb rom 6.8 inch screen display (import phone),235.5,realme,0,1,0,0
realme 8s 5g 8gb ram+512gb rom (import phone),205.5,realme,0,0,0,0
huawei p50 pro 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),255.5,huawei,0,1,0,0
samsung s21 8gb+512gb (import phone),198,other brands,0,0,0,0
samsung a72 8gb+512gb (import phone),198,other brands,0,0,0,0
vivo y31 8gb+512gb (import phone),198,vivo,0,0,0,0
oppo a74 (8gb+512gb) (import phone),198,oppo,0,0,0,0
oppo a54 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),245.5,oppo,0,0,0,0
vivo v21 5g 12gb ram+512gb rom 6.8 inch screen display (import phone),250.5,vivo,0,1,0,0
realme 7 pro (8gb+512gb) global new set,203,realme,0,0,0,0
huawei p30 pro 8gb ram 512gb rom (import phone),198,huawei,0,0,0,0
redmi 6a dual sim dual standby 5.0 inch 2gb ram 16gb rom (original import used set),197,other brands,0,0,0,0
original nokia 150 dual sim feature phones nokia my set 1 year warranty,159,nokia,0,0,0,0
oppo a53 4g 2gb+16gb original used set ~ top a condition like new,189,oppo,0,0,0,0
oppo a37 4g 2gb+16gb original used set ~ top a condition like new,179,oppo,0,0,0,0
